Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","100","India","5910","Export Quantity","20","Bread","2004","2004","tonnes","358","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","20","Bread","2005","2005","tonnes","754","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","20","Bread","2006","2006","tonnes","3291","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","20","Bread","2007","2007","tonnes","2041","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","20","Bread","2008","2008","tonnes","1966","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","20","Bread","2009","2009","tonnes","2116","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","20","Bread","2010","2010","tonnes","1730","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","20","Bread","2011","2011","tonnes","3548","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","20","Bread","2012","2012","tonnes","3990","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","20","Bread","2013","2013","tonnes","5678","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","20","Bread","2014","2014","tonnes","5872","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","20","Bread","2015","2015","tonnes","6238","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","20","Bread","2016","2016","tonnes","7832","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","20","Bread","2017","2017","tonnes","8611","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","20","Bread","2018","2018","tonnes","10258","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","20","Bread","2019","2019","tonnes","9021","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","886","Butter, cow milk","2001","2001","tonnes","0","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","886","Butter, cow milk","2002","2002","tonnes","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","886","Butter, cow milk","2003","2003","tonnes","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","886","Butter, cow milk","2004","2004","tonnes","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","886","Butter, cow milk","2005","2005","tonnes","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","886","Butter, cow milk","2006","2006","tonnes","0","*","Unofficial figure"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","886","Butter, cow milk","2007","2007","tonnes","0","*","Unofficial figure"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","886","Butter, cow milk","2008","2008","tonnes","0","*","Unofficial figure"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","886","Butter, cow milk","2009","2009","tonnes","0","*","Unofficial figure"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","886","Butter, cow milk","2010","2010","tonnes","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","886","Butter, cow milk","2011","2011","tonnes","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","886","Butter, cow milk","2012","2012","tonnes","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","886","Butter, cow milk","2013","2013","tonnes","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","886","Butter, cow milk","2001","2001","tonnes","0","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","886","Butter, cow milk","2002","2002","tonnes","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","886","Butter, cow milk","2003","2003","tonnes","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","886","Butter, cow milk","2004","2004","tonnes","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","886","Butter, cow milk","2005","2005","tonnes","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","886","Butter, cow milk","2006","2006","tonnes","0","*","Unofficial figure"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","886","Butter, cow milk","2007","2007","tonnes","0","*","Unofficial figure"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","886","Butter, cow milk","2008","2008","tonnes","0","*","Unofficial figure"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","886","Butter, cow milk","2009","2009","tonnes","0","*","Unofficial figure"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","886","Butter, cow milk","2010","2010","tonnes","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","886","Butter, cow milk","2011","2011","tonnes","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","886","Butter, cow milk","2012","2012","tonnes","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","886","Butter, cow milk","2013","2013","tonnes","0","F","FAO estimate"
